Run Time,Name,Status,Summary,m_omit,m_omit
"10:38 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8127MB virtual memory free, 0 pages/sec","",
"10:38 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8128MB virtual memory free, 0 pages/sec","",
"10:39 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8127MB virtual memory free, 0 pages/sec","",
"10:39 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8126MB virtual memory free, 0 pages/sec","",
"10:40 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8126MB virtual memory free, 0 pages/sec","",
"10:40 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8126MB virtual memory free, 3.03314 pages/sec","",
"10:41 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8125MB virtual memory free, 0 pages/sec","",
"10:41 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8125MB virtual memory free, 0 pages/sec","",
"10:42 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8125MB virtual memory free, 0 pages/sec","",
"10:42 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8127MB virtual memory free, 0 pages/sec","",
"10:43 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8125MB virtual memory free, 0 pages/sec","",
"10:43 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8137MB virtual memory free, 10.59961 pages/sec","",
"10:44 8/10/2014","Memory on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","50% virtual memory used, 8136MB virtual memory free, 0.89998 pages/sec","",
