Run Time,Name,Status,Summary,m_omit,m_omit
"10:36 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:37 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 1%, cpu4 0%","",
"10:37 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 1%, cpu3 1%, cpu4 0%","",
"10:38 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","1% avg, cpu1 2%, cpu2 1%, cpu3 1%, cpu4 1%","",
"10:38 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","1% avg, cpu1 2%, cpu2 1%, cpu3 1%, cpu4 1%","",
"10:39 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:39 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:40 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","2% avg, cpu1 0%, cpu2 3%, cpu3 2%, cpu4 3%","",
"10:40 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 1%, cpu3 0%, cpu4 1%","",
"10:41 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 1%, cpu3 0%, cpu4 1%","",
"10:41 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:42 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:42 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:43 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:43 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:44 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 3%","",
"10:44 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 1%, cpu2 1%, cpu3 0%, cpu4 1%","",
"10:45 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:45 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 1%, cpu3 0%, cpu4 0%","",
"10:46 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 1%, cpu3 0%, cpu4 0%","",
"10:46 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 1%, cpu3 1%, cpu4 0%","",
"10:47 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 1%, cpu3 0%, cpu4 0%","",
"10:47 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:48 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 1%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:48 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:49 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","4% avg, cpu1 0%, cpu2 3%, cpu3 0%, cpu4 13%","",
"10:49 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 1%, cpu2 1%, cpu3 0%, cpu4 0%","",
"10:50 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:50 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:51 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:51 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 1%, cpu3 1%, cpu4 0%","",
"10:52 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 0%, cpu2 0%, cpu3 0%, cpu4 0%","",
"10:52 8/10/2014","Cpu monitor on myd-vm06792.hpswlabs.adapps.hp.com","Status: Good; Monitor Availability: Data Collected","0% avg, cpu1 2%, cpu2 0%, cpu3 0%, cpu4 1%","",
